,index,lat,lon
641,641,38.2014,-85.69273000000003
642,642,40.52035,-83.10043
643,643,40.53491,-83.10678
644,644,39.12965,-84.49555
645,645,38.24374,-85.75246
646,646,40.42109,-80.04389
647,647,39.74204,-84.20492
648,648,39.07186,-84.51935999999998
649,649,39.781457,-85.839651
650,650,39.781457,-85.839651
651,651,41.06341,-81.4506
652,652,39.693164,-83.882745
653,653,39.688148,-83.88431
654,654,39.953417,-83.041638
655,655,41.10985,-81.60615
656,656,39.797711,-84.18968100000002
657,657,39.19777,-85.95871
658,658,39.23596,-84.45087
659,659,39.73835,-84.25588
660,660,39.969828,-85.973112
661,661,41.12877,-81.65219
662,662,39.12841,-84.49647
663,663,41.46192,-83.62201
664,664,40.06052,-83.03096
665,665,40.045608,-83.29660799999998
666,666,40.066965,-83.289888
667,667,39.98078,-82.95044
668,668,39.981095,-85.11027299999998
669,669,39.98248,-85.123922
670,670,40.42924,-80.02441999999998
671,671,40.43088,-80.02655
672,672,39.976433,-83.123183
673,673,41.252653,-85.347328
674,674,41.34758,-83.62365
675,675,41.256658,-85.363439
676,676,39.94182,-83.01106999999998
677,677,39.12338,-84.53556999999998
678,678,40.1402,-82.97126
679,679,39.89923,-82.90135
680,680,39.12841,-84.49647
681,681,40.41885,-80.34666999999997
682,682,41.14107,-83.65875
683,683,39.94969,-83.03882
684,684,41.47585,-81.87980999999998
685,685,39.11128,-84.50095999999998
686,686,38.340337,-81.68436700000002
687,687,40.95712,-85.2944
688,688,38.4414,-82.01459
689,689,38.44081,-82.12548000000002
690,690,38.4414,-82.01459
691,691,38.3317,-83.20607
692,692,41.19446,-80.197162
693,693,40.10887,-83.08686
694,694,41.35635,-83.62114
695,695,38.15982,-84.67779
696,696,38.19016,-85.7616
697,697,39.24591,-84.36599
698,698,39.141454,-84.016543
699,699,39.137217,-84.04718299999998
700,700,38.35275,-81.62554
701,701,41.92263,-83.36129
702,702,40.89417,-84.62447
703,703,40.46013,-80.19126
704,704,41.119108,-80.697254
705,705,41.121551,-80.704452
706,706,39.14745,-84.53923
707,707,38.27112,-85.80861999999998
708,708,41.53542,-83.61733000000002
709,709,39.384572,-84.215148
710,710,38.4427,-81.48039
711,711,41.02507,-81.50741
712,712,38.27112,-85.80861999999998
713,713,38.12022,-85.78089
714,714,38.276899,-85.820368
715,715,38.278587,-85.822274
716,716,41.39706,-81.94198
717,717,39.46784,-80.13192
718,718,38.220664,-81.428336
719,719,38.221177,-81.42954
720,720,39.042853,-84.612617
721,721,38.25962,-85.76688
722,722,39.07599,-84.51941
723,723,41.841123,-84.361652
724,724,41.840758,-84.361657
725,725,41.63548,-83.54284
726,726,40.02874,-81.04368000000002
727,727,41.43891,-81.80490999999998
728,728,41.08452,-81.5029
729,729,38.35473,-81.64931
730,730,39.95342,-82.95512
731,731,41.70436,-83.50166999999998
732,732,40.11206,-83.03187
733,733,41.50627,-81.67075
734,734,39.99031,-83.02513
735,735,41.483475,-81.692181
736,736,39.20968,-84.46306
737,737,40.06376,-82.99679
738,738,39.937,-82.87316
739,739,39.20655,-82.48212
740,740,39.167788,-82.524172
741,741,41.3991,-81.50805
742,742,39.961933,-81.175436
743,743,39.977322,-81.183327
744,744,39.67698,-84.23229
745,745,40.01228,-82.99218
746,746,38.58119600000001,-82.004356
747,747,38.583372,-81.994824
748,748,40.10307,-83.12989
749,749,41.58484,-83.56458
750,750,38.29141,-85.64988000000002
751,751,40.10307,-83.12989
752,752,39.07599,-84.51941
753,753,41.47068,-81.73583
754,754,40.8293,-81.39706
755,755,40.8293,-81.39706
756,756,39.06035,-84.53317
757,757,39.06272,-84.65743
758,758,39.03371,-84.60359
759,759,40.03205,-82.995
760,760,39.8714,-84.89546999999997
761,761,39.06035,-84.53317
762,762,39.03791,-84.60596
763,763,41.03755,-81.58442
764,764,40.99023,-83.64958
765,765,39.94249,-83.50368
766,766,39.89475,-83.7256
767,767,39.896448,-83.72312099999998
768,768,41.47957,-81.66823000000002
769,769,39.71767,-84.21632
770,770,40.03744,-85.72343000000002
771,771,41.15107,-81.21375
772,772,41.17516,-81.23116999999998
773,773,40.03744,-85.72343000000002
774,774,39.99372,-85.8467
775,775,40.46013,-80.19126
776,776,41.68976,-83.666
777,777,39.96738,-83.02441999999998
778,778,39.52084,-83.84075
779,779,39.83355,-85.99635
780,780,39.79721,-85.97153
781,781,39.97501,-83.11650999999998
782,782,41.45406,-83.62244
783,783,39.894461,-82.99546600000002
784,784,39.97825,-83.02147
785,785,40.880561,-81.965583
786,786,41.424722,-81.531013
787,787,39.34107,-84.39895
788,788,39.94226,-82.53539
789,789,38.354505,-81.731585
790,790,38.353957,-81.73513100000002
791,791,41.501923,-81.479074
792,792,39.86628,-83.99031
793,793,38.69455,-85.1604
794,794,39.99881,-83.11846
795,795,39.91978,-82.93149
796,796,39.10414,-84.50438
797,797,41.06266,-81.50474
798,798,41.63548,-83.54284
799,799,39.83208,-83.000447
800,800,39.83214,-82.99838000000003
801,801,39.82529,-83.03175999999998
802,802,37.915564,-84.861798
803,803,40.54999,-80.11972
804,804,39.16181,-84.51402
805,805,41.487043,-81.690637
806,806,41.25666,-81.63157
807,807,39.04577000000001,-84.5741
808,808,39.20968,-84.46306
809,809,39.89059,-82.88453
810,810,39.74876,-84.20146
811,811,39.97421,-83.09558
812,812,39.07186,-84.51935999999998
813,813,39.950594,-83.01572900000002
814,814,39.95292,-82.99928100000002
815,815,38.70138,-80.66486
816,816,39.15314,-84.53904
817,817,41.76185,-83.4806
818,818,39.99094,-85.92014
819,819,39.987258,-83.02388
820,820,41.12366,-80.7642
821,821,41.688256,-83.54644300000002
822,822,41.53929,-81.62879000000002
823,823,39.29747,-84.53181
824,824,41.204286,-85.704719
825,825,39.19615,-84.47335
826,826,40.07916,-83.13641
827,827,39.14347100000001,-84.47404
828,828,41.123329,-80.782678
829,829,41.34967,-81.51105
830,830,39.86428400000001,-84.228309
831,831,40.42061,-80.03929000000002
832,832,39.9589,-82.98257
833,833,39.915551,-83.853318
834,834,39.89542,-83.85795999999998
835,835,40.033231,-83.050979
836,836,41.40887,-81.6551
837,837,38.316435,-80.83362
838,838,40.10717,-82.95766
839,839,38.22677,-85.63964
840,840,41.55022,-81.60536
841,841,39.99384000000001,-82.98501999999998
842,842,38.31688,-85.58794
843,843,38.455335,-85.297894
844,844,38.31485,-85.581631
845,845,38.455335,-85.297894
846,846,39.85809,-82.82798000000003
847,847,38.154807,-80.915906
848,848,39.97672,-83.12431
849,849,41.47388,-81.70559
850,850,39.26956,-84.43068000000002
851,851,38.22582,-85.82176
852,852,41.45656,-81.65731
853,853,39.1765,-84.48756999999998
854,854,41.40476,-82.11784
855,855,41.53542,-83.61733000000002
856,856,39.91632,-83.00161999999997
857,857,41.60816,-81.48999
858,858,41.17962,-85.16617
859,859,41.5047,-81.6704
860,860,39.97346,-83.08339000000002
861,861,39.96738,-83.02441999999998
862,862,39.89923,-82.90135
863,863,39.8889,-83.04231999999998
864,864,39.67698,-84.23229
